generation_id,candidate_id,candidate_tag,receiver_height,r_min,packing,inner_bias,azimuth_multiplier,beta_deg,bubble_radius,delta,flat_receiver_radius,flat_receiver_tilt,min_tower_clearance,num_heliostats,radial_multiplier,split_threshold,fitnessValue
000,0081,HASL_000_0081,59.033652,16.064429,0.847637,0.476847,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.392752
000,0080,HASL_000_0080,44.792519,15.799176,0.670772,0.361280,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.427163
000,0079,HASL_000_0079,65.409739,21.522572,0.428879,0.682144,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.365453
000,0078,HASL_000_0078,52.061876,25.037519,0.572692,0.598738,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.430943
000,0077,HASL_000_0077,50.005524,23.515995,0.528269,0.918963,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.427661
000,0076,HASL_000_0076,36.869182,14.003885,0.864559,0.228142,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.450894
000,0075,HASL_000_0075,51.744623,25.117850,0.492299,0.392306,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.431020
000,0074,HASL_000_0074,65.214868,21.628991,0.805135,0.653569,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.368372
000,0073,HASL_000_0073,51.934988,13.290497,0.889681,0.937642,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.413293
000,0072,HASL_000_0072,36.721283,24.220518,0.432442,0.686387,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.470234
000,0071,HASL_000_0071,61.097260,15.894439,0.504213,0.286929,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.377050
000,0070,HASL_000_0070,59.727290,26.812069,0.717850,0.622739,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.401776
000,0069,HASL_000_0069,62.433093,20.056537,0.480405,0.701404,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.377806
000,0068,HASL_000_0068,43.093484,28.659612,0.575984,0.104875,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.456266
000,0067,HASL_000_0067,55.298861,22.089091,0.889233,0.484145,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.410220
000,0066,HASL_000_0066,46.072008,25.070514,0.846969,0.673375,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.451678
000,0065,HASL_000_0065,62.881833,15.547143,0.681101,0.103084,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.373916
000,0064,HASL_000_0064,56.564931,13.508842,0.615101,0.865641,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.397438
000,0063,HASL_000_0063,63.975169,12.005479,0.706810,0.685059,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.367581
000,0062,HASL_000_0062,44.219401,17.568744,0.642813,0.870752,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.424843
000,0061,HASL_000_0061,57.847502,17.548124,0.897418,0.460805,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.392001
000,0060,HASL_000_0060,39.876821,13.748561,0.477542,0.349912,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.441855
